----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
            GELU-312            [-1, 196, 2048]               0
         Dropout-313            [-1, 196, 2048]               0
          Linear-314             [-1, 196, 512]       1,049,088
         Dropout-315             [-1, 196, 512]               0
             Mlp-316             [-1, 196, 512]               0
        DropPath-317             [-1, 196, 512]               0
SwinTransformerBlock-318          [-1, 14, 14, 512]               0
       LayerNorm-319          [-1, 14, 14, 512]           1,024
          Linear-320             [-1, 49, 1536]         787,968
         Softmax-321           [-1, 16, 49, 49]               0
         Dropout-322           [-1, 16, 49, 49]               0
          Linear-323              [-1, 49, 512]         262,656
         Dropout-324              [-1, 49, 512]               0
 WindowAttention-325              [-1, 49, 512]               0
        DropPath-326          [-1, 14, 14, 512]               0
       LayerNorm-327             [-1, 196, 512]           1,024
          Linear-328            [-1, 196, 2048]       1,050,624
            GELU-329            [-1, 196, 2048]               0
         Dropout-330            [-1, 196, 2048]               0
          Linear-331             [-1, 196, 512]       1,049,088
         Dropout-332             [-1, 196, 512]               0
             Mlp-333             [-1, 196, 512]               0
        DropPath-334             [-1, 196, 512]               0
SwinTransformerBlock-335          [-1, 14, 14, 512]               0
       LayerNorm-336          [-1, 14, 14, 512]           1,024
          Linear-337             [-1, 49, 1536]         787,968
         Softmax-338           [-1, 16, 49, 49]               0
         Dropout-339           [-1, 16, 49, 49]               0
          Linear-340              [-1, 49, 512]         262,656
         Dropout-341              [-1, 49, 512]               0
 WindowAttention-342              [-1, 49, 512]               0
        DropPath-343          [-1, 14, 14, 512]               0
       LayerNorm-344             [-1, 196, 512]           1,024
          Linear-345            [-1, 196, 2048]       1,050,624
            GELU-346            [-1, 196, 2048]               0
         Dropout-347            [-1, 196, 2048]               0
          Linear-348             [-1, 196, 512]       1,049,088
         Dropout-349             [-1, 196, 512]               0
             Mlp-350             [-1, 196, 512]               0
        DropPath-351             [-1, 196, 512]               0
SwinTransformerBlock-352          [-1, 14, 14, 512]               0
       LayerNorm-353          [-1, 14, 14, 512]           1,024
          Linear-354             [-1, 49, 1536]         787,968
         Softmax-355           [-1, 16, 49, 49]               0
         Dropout-356           [-1, 16, 49, 49]               0
          Linear-357              [-1, 49, 512]         262,656
         Dropout-358              [-1, 49, 512]               0
 WindowAttention-359              [-1, 49, 512]               0
        DropPath-360          [-1, 14, 14, 512]               0
       LayerNorm-361             [-1, 196, 512]           1,024
          Linear-362            [-1, 196, 2048]       1,050,624
            GELU-363            [-1, 196, 2048]               0
         Dropout-364            [-1, 196, 2048]               0
          Linear-365             [-1, 196, 512]       1,049,088
         Dropout-366             [-1, 196, 512]               0
             Mlp-367             [-1, 196, 512]               0
        DropPath-368             [-1, 196, 512]               0
SwinTransformerBlock-369          [-1, 14, 14, 512]               0
       LayerNorm-370          [-1, 14, 14, 512]           1,024
          Linear-371             [-1, 49, 1536]         787,968
         Softmax-372           [-1, 16, 49, 49]               0
         Dropout-373           [-1, 16, 49, 49]               0
          Linear-374              [-1, 49, 512]         262,656
         Dropout-375              [-1, 49, 512]               0
 WindowAttention-376              [-1, 49, 512]               0
        DropPath-377          [-1, 14, 14, 512]               0
       LayerNorm-378             [-1, 196, 512]           1,024
          Linear-379            [-1, 196, 2048]       1,050,624
            GELU-380            [-1, 196, 2048]               0
         Dropout-381            [-1, 196, 2048]               0
          Linear-382             [-1, 196, 512]       1,049,088
